5404105089	10008829	2013-06-26	2013-09-24	2013-06-26	0
5404105089	7302057494	2013-06-26	2013-09-24	2013-06-26	0
5404105089	7118022071	2013-06-26	2013-09-24	NULL	0
5302105142	7810776061	2013-06-28	2013-09-26	2013-06-28	0
5302105141	10008829	2013-07-11	2013-10-09	2013-10-28	1
5302105141	7118022071	2013-07-11	2013-10-09	2013-10-28	1
5302105141	9787300088280	2013-09-04	2013-12-03	2013-10-28	1
5404105089	22	2013-10-28	2014-01-26	NULL	0
5404105089	22	2013-10-28	2014-01-26	NULL	0
5404105089	22	2013-10-28	2014-01-26	NULL	0
5404105089	22	2013-10-28	2014-01-26	NULL	0
